Resolucao,Kernel,Iteracoes,Threads,Tempo
512,3,100,1,0.093310
512,3,100,2,0.066199
512,3,100,4,0.027632
512,3,100,8,0.027256
512,3,500,1,0.339259
512,3,500,2,0.196443
512,3,500,4,0.127773
512,3,500,8,0.131505
512,3,1000,1,0.682537
512,3,1000,2,0.391818
512,3,1000,4,0.257221
512,3,1000,8,0.263668
1024,3,100,1,0.286606
1024,3,100,2,0.154508
1024,3,100,4,0.090375
1024,3,100,8,0.071323
1024,3,500,1,1.306453
1024,3,500,2,0.735154
1024,3,500,4,0.435663
1024,3,500,8,0.344578
1024,3,1000,1,2.597534
1024,3,1000,2,1.441441
1024,3,1000,4,0.865918
1024,3,1000,8,0.695098
2048,3,100,1,1.079896
2048,3,100,2,0.590443
2048,3,100,4,0.359018
2048,3,100,8,0.264594
2048,3,500,1,5.271567
2048,3,500,2,2.904857
2048,3,500,4,1.788595
2048,3,500,8,1.305508
2048,3,1000,1,10.539278
2048,3,1000,2,5.840819
2048,3,1000,4,3.580775
2048,3,1000,8,2.669028
4096,3,100,1,4.253226
4096,3,100,2,2.398891
4096,3,100,4,1.430735
4096,3,100,8,1.046635
4096,3,500,1,21.095006
4096,3,500,2,11.970417
4096,3,500,4,7.247840
4096,3,500,8,5.471466
4096,3,1000,1,42.231459
4096,3,1000,2,24.506087
4096,3,1000,4,15.445254
4096,3,1000,8,11.313888
512,3,100,1,0.084727
512,3,100,2,0.049175
512,3,100,4,0.028165
512,3,100,8,0.027215
512,3,500,1,0.358703
512,3,500,2,0.200035
512,3,500,4,0.130124
512,3,500,8,0.132788
512,3,1000,1,0.691593
512,3,1000,2,0.393726
512,3,1000,4,0.260866
512,3,1000,8,0.263328
1024,3,100,1,0.287397
1024,3,100,2,0.157913
1024,3,100,4,0.092890
1024,3,100,8,0.073509
1024,3,500,1,1.310078
1024,3,500,2,0.727321
1024,3,500,4,0.461802
1024,3,500,8,0.360197
1024,3,1000,1,2.618352
1024,3,1000,2,1.458500
1024,3,1000,4,0.931343
1024,3,1000,8,0.718086
2048,3,100,1,1.074177
2048,3,100,2,0.612791
2048,3,100,4,0.373862
2048,3,100,8,0.273999
2048,3,500,1,5.321686
2048,3,500,2,3.083614
2048,3,500,4,1.866615
2048,3,500,8,1.368699
2048,3,1000,1,10.589829
2048,3,1000,2,6.203814
2048,3,1000,4,3.851144
2048,3,1000,8,2.811844
4096,3,100,1,4.445876
4096,3,100,2,2.475441
4096,3,100,4,1.519535
4096,3,100,8,1.085728
4096,3,500,1,21.200793
4096,3,500,2,12.397183
4096,3,500,4,7.748722
4096,3,500,8,5.636966
4096,3,1000,1,42.727715
4096,3,1000,2,24.780546
4096,3,1000,4,16.057343
4096,3,1000,8,13.661797
512,3,100,1,0.095562
512,3,100,2,0.054828
512,3,100,4,0.028914
512,3,100,8,0.027150
512,3,500,1,0.355976
512,3,500,2,0.199603
512,3,500,4,0.132139
512,3,500,8,0.132989
512,3,1000,1,0.696008
512,3,1000,2,0.393670
512,3,1000,4,0.270266
512,3,1000,8,0.281436
1024,3,100,1,0.282484
1024,3,100,2,0.151964
1024,3,100,4,0.095536
1024,3,100,8,0.074989
1024,3,500,1,1.324772
1024,3,500,2,0.751523
1024,3,500,4,0.504981
1024,3,500,8,0.438723
1024,3,1000,1,2.645098
1024,3,1000,2,1.544471
1024,3,1000,4,1.126152
1024,3,1000,8,0.956281
2048,3,100,1,1.100580
2048,3,100,2,0.630966
2048,3,100,4,0.404719
2048,3,100,8,0.339792
2048,3,500,1,5.356260
2048,3,500,2,3.167062
2048,3,500,4,2.328943
2048,3,500,8,1.887248
2048,3,1000,1,10.771410
2048,3,1000,2,6.418974
2048,3,1000,4,4.944873
2048,3,1000,8,3.864797
4096,3,100,1,4.311471
4096,3,100,2,2.598342
4096,3,100,4,2.064005
4096,3,100,8,1.529660
4096,3,500,1,21.325933
4096,3,500,2,13.595305
4096,3,500,4,10.285832
4096,3,500,8,8.021153
4096,3,1000,1,43.586084
4096,3,1000,2,27.748707
4096,3,1000,4,20.485560
4096,3,1000,8,15.862283
512,3,100,1,0.095967
512,3,100,2,0.054205
512,3,100,4,0.029467
512,3,100,8,0.027290
512,3,500,1,0.356202
512,3,500,2,0.198455
512,3,500,4,0.131034
512,3,500,8,0.132144
512,3,1000,1,0.691006
512,3,1000,2,0.394244
512,3,1000,4,0.271257
512,3,1000,8,0.285399
1024,3,100,1,0.284133
1024,3,100,2,0.156774
1024,3,100,4,0.094071
1024,3,100,8,0.076229
1024,3,500,1,1.313749
1024,3,500,2,0.793265
1024,3,500,4,0.630845
1024,3,500,8,0.531739
1024,3,1000,1,2.626595
1024,3,1000,2,1.622624
1024,3,1000,4,1.268273
1024,3,1000,8,1.011040
2048,3,100,1,1.102776
2048,3,100,2,0.607922
2048,3,100,4,0.425950
2048,3,100,8,0.366229
2048,3,500,1,5.277532
2048,3,500,2,3.318916
2048,3,500,4,2.413362
2048,3,500,8,1.884168
2048,3,1000,1,10.580362
2048,3,1000,2,6.524978
2048,3,1000,4,4.749247
2048,3,1000,8,3.790031
4096,3,100,1,4.242828
4096,3,100,2,2.529296
4096,3,100,4,2.041921
4096,3,100,8,1.495552
4096,3,500,1,21.107338
4096,3,500,2,12.970156
4096,3,500,4,9.646003
4096,3,500,8,7.578867
4096,3,1000,1,42.176856
4096,3,1000,2,25.297786
4096,3,1000,4,17.700471
4096,3,1000,8,14.738714
512,3,100,1,0.095227
512,3,100,2,0.051076
512,3,100,4,0.029059
512,3,100,8,0.027431
512,3,500,1,0.355622
512,3,500,2,0.197319
512,3,500,4,0.131630
512,3,500,8,0.132213
512,3,1000,1,0.686188
512,3,1000,2,0.393702
512,3,1000,4,0.259721
512,3,1000,8,0.262242
1024,3,100,1,0.289365
1024,3,100,2,0.154698
1024,3,100,4,0.091020
1024,3,100,8,0.072850
1024,3,500,1,1.304083
1024,3,500,2,0.724702
1024,3,500,4,0.452938
1024,3,500,8,0.371301
1024,3,1000,1,2.569455
1024,3,1000,2,1.447597
1024,3,1000,4,0.915770
1024,3,1000,8,0.716843
2048,3,100,1,1.102443
2048,3,100,2,0.605026
2048,3,100,4,0.368095
2048,3,100,8,0.271514
2048,3,500,1,5.268140
2048,3,500,2,3.051937
2048,3,500,4,1.881754
2048,3,500,8,1.519539
2048,3,1000,1,10.661931
2048,3,1000,2,6.203787
2048,3,1000,4,3.899633
2048,3,1000,8,3.129334
4096,3,100,1,4.403237
4096,3,100,2,2.498189
4096,3,100,4,1.528674
4096,3,100,8,1.254222
4096,3,500,1,21.262051
4096,3,500,2,12.612739
4096,3,500,4,8.691304
4096,3,500,8,7.035334
4096,3,1000,1,42.652315
4096,3,1000,2,27.540002
4096,3,1000,4,22.437783
4096,3,1000,8,17.228148
